Edad;IngAnual;TipVivienda;AntLaboral;DestPrestamo;CalifPrestamo;MontoPrest;TasaInteres;Default;PorcPrestamo;DefaultHistorico;MesesHistorial
23;190000;HIPOTECA;5;Educacion;F;22000;17.58;1;0.12;Y;3
23;13920;PROPIO;2;Personal;E;7750;17.04;1;0.56;N;4
24;60000;ALQUILER;0;Personal;B;25000;10.99;1;0.42;N;3
24;60000;ALQUILER;2;Personal;B;25000;11.11;1;0.42;N;3
26;54000;ALQUILER;7;PagoDeudas;D;25000;14.83;1;0.46;Y;2
23;14000;PROPIO;2;PagoDeudas;D;4000;;1;0.29;N;3
24;200000;ALQUILER;8;GastosMedicos;B;12000;12.69;0;0.06;N;2
24;200000;HIPOTECA;8;MejorasCasa;C;12000;13.49;0;0.06;N;2
21;200000;HIPOTECA;5;Educacion;C;16000;14.65;0;0.08;N;4
25;54000;ALQUILER;3;MejorasCasa;E;25000;16.82;1;0.46;N;4
23;60000;ALQUILER;3;Personal;C;25000;12.73;1;0.42;N;3
23;60000;ALQUILER;7;Personal;B;25000;10.25;1;0.42;N;4
21;60000;ALQUILER;6;Educacion;B;25000;10.99;1;0.42;N;4
25;61959;ALQUILER;9;GastosMedicos;C;25000;12.73;1;0.4;N;2
22;56400;ALQUILER;2;MejorasCasa;D;25000;14.96;1;0.44;Y;3
23;200000;HIPOTECA;7;Educacion;A;28000;;0;0.14;N;2
21;200000;HIPOTECA;2;PagoDeudas;C;25000;13.99;0;0.13;N;2
24;200000;HIPOTECA;3;Empresa;A;24000;7.49;0;0.12;N;4
26;200000;HIPOTECA;4;Educacion;C;15000;14.79;0;0.07;N;3
25;200000;HIPOTECA;2;PagoDeudas;B;15500;11.99;0;0.08;N;2
24;200000;ALQUILER;8;Educacion;A;10000;8.49;0;0.05;N;4
24;66000;ALQUILER;3;Educacion;B;25000;9.91;1;0.38;N;2
22;66000;ALQUILER;6;Educacion;C;25000;13.06;1;0.38;Y;3
22;200000;HIPOTECA;6;PagoDeudas;A;9000;6.17;0;0.04;N;4
144;200000;HIPOTECA;4;Educacion;B;6000;11.86;0;0.03;N;2
25;200000;ALQUILER;5;Educacion;D;18000;16.32;0;0.09;N;3
25;200000;HIPOTECA;2;Empresa;B;12000;10.38;0;0.06;N;2
25;200000;HIPOTECA;9;Personal;C;23050;14.35;0;0.12;N;3
24;200000;HIPOTECA;8;PagoDeudas;B;20000;;0;0.1;N;3
24;60000;ALQUILER;2;PagoDeudas;E;25000;;1;0.42;Y;2
21;14400;PROPIO;0;MejorasCasa;B;3000;;1;0.21;N;4
26;66996;ALQUILER;10;Personal;D;25000;15.21;1;0.37;Y;2
23;67000;ALQUILER;3;Educacion;A;25000;7.9;1;0.37;N;4
24;67000;ALQUILER;2;Empresa;B;25000;10.99;1;0.37;N;3
24;68000;ALQUILER;5;Personal;D;25000;14.09;1;0.37;Y;3
25;69000;ALQUILER;9;Personal;D;25000;17.49;1;0.36;N;2
25;200000;HIPOTECA;0;Educacion;B;12000;11.48;0;0.06;N;3
26;188000;HIPOTECA;10;Empresa;E;20000;17.74;1;0.11;N;2
26;200000;HIPOTECA;4;Personal;C;3000;13.92;0;0.01;N;3
25;69996;ALQUILER;9;Educacion;D;25000;15.21;1;0.36;N;3
22;14400;PROPIO;2;GastosMedicos;B;4000;10.99;1;0.28;N;3
24;70000;ALQUILER;3;Educacion;B;25000;11.86;1;0.36;N;4
24;14400;PROPIO;5;Personal;A;6000;7.49;1;0.42;N;3
24;56100;ALQUILER;7;GastosMedicos;D;25000;16.49;1;0.38;N;4
25;66000;ALQUILER;9;Empresa;D;25000;15.33;1;0.38;Y;2
26;66000;ALQUILER;3;MejorasCasa;B;25000;11.58;1;0.38;N;4
25;14400;PROPIO;7;Educacion;A;5375;5.79;1;0.37;N;2
25;72612;ALQUILER;9;GastosMedicos;C;25000;13.11;1;0.34;N;2
23;74000;ALQUILER;3;GastosMedicos;B;25000;10.36;1;0.34;N;3
25;75000;ALQUILER;9;PagoDeudas;B;25000;10.36;1;0.33;N;2
24;192000;ALQUILER;0;GastosMedicos;C;22000;;0;0.11;Y;2
21;192000;HIPOTECA;123;Empresa;A;20000;6.54;0;0.1;N;4
25;191000;HIPOTECA;1;GastosMedicos;B;10000;12.53;0;0.05;N;4
26;190300;HIPOTECA;5;Personal;A;15000;;0;0.08;N;3
22;190000;HIPOTECA;3;Empresa;C;10000;;0;0.05;N;3
24;75000;ALQUILER;4;Educacion;B;25000;10.25;1;0.33;N;4
22;71000;ALQUILER;1;Educacion;D;25000;15.95;1;0.35;Y;4
26;190000;HIPOTECA;3;Empresa;B;20000;12.18;0;0.11;N;4
23;189996;PROPIO;0;Personal;B;24000;11.83;0;0.13;N;3
23;78000;ALQUILER;7;PagoDeudas;C;25000;;1;0.32;Y;2
23;78000;ALQUILER;1;Empresa;B;25000;10.62;1;0.32;N;3
23;78504;ALQUILER;7;Empresa;B;25000;10.74;1;0.32;N;3
25;186000;PROPIO;9;Empresa;B;10000;10.25;0;0.05;N;4
24;185000;HIPOTECA;;Educacion;B;35000;12.42;0;0.19;N;2
25;185000;ALQUILER;6;Empresa;C;15000;15.27;0;0.08;N;2
24;62050;ALQUILER;8;GastosMedicos;D;25000;15.33;1;0.34;Y;2
23;79416;ALQUILER;7;Empresa;D;25000;15.21;1;0.31;Y;2
21;14400;PROPIO;4;Empresa;C;6250;14.72;1;0.43;N;2
24;79631;ALQUILER;8;Personal;D;25000;15.7;1;0.31;Y;2
24;79632;ALQUILER;0;Educacion;C;25000;13.35;1;0.31;N;4
21;14400;HIPOTECA;0;GastosMedicos;C;1500;;0;0.1;N;4
24;80000;ALQUILER;6;Educacion;A;25000;6.62;1;0.31;N;2
26;80000;ALQUILER;5;PagoDeudas;C;25000;13.61;1;0.31;N;4
22;185000;ALQUILER;4;GastosMedicos;B;25000;11.36;0;0.14;N;2
26;185000;PROPIO;10;Personal;A;5000;7.68;0;0.03;N;2
24;184992;ALQUILER;7;MejorasCasa;D;22000;14.46;0;0.12;Y;4
23;184000;PROPIO;5;Educacion;B;2500;11.83;0;0.01;N;2
24;172000;HIPOTECA;6;PagoDeudas;C;20000;13.47;1;0.12;Y;4
24;183000;HIPOTECA;2;GastosMedicos;B;20000;11.49;0;0.11;N;3
22;183000;HIPOTECA;3;Educacion;A;1000;;0;0.01;N;2
25;182952;HIPOTECA;9;Personal;A;15000;6.03;0;0.08;N;3
23;74004;ALQUILER;7;PagoDeudas;E;25000;16.35;1;0.34;N;4
26;74004;ALQUILER;10;PagoDeudas;D;25000;;1;0.34;Y;4
25;81000;ALQUILER;5;PagoDeudas;A;25000;7.29;1;0.31;N;3
23;81600;ALQUILER;1;GastosMedicos;B;25000;11.36;1;0.31;N;3
24;82000;ALQUILER;8;Empresa;B;25000;10.25;0;0.3;N;2
24;83000;ALQUILER;5;Educacion;B;25000;11.12;0;0.3;N;3
24;83000;ALQUILER;5;Personal;D;25000;12.92;0;0.3;Y;3
24;180000;ALQUILER;8;Educacion;E;18000;18.64;0;0.1;Y;4
23;180000;HIPOTECA;8;Personal;A;28000;7.51;0;0.16;N;3
23;14400;PROPIO;2;MejorasCasa;E;4000;16.7;1;0.28;N;2
22;14400;PROPIO;0;Personal;B;2100;11.14;0;0.15;N;4
22;84500;ALQUILER;6;Personal;F;25000;18.3;0;0.3;N;4
24;85000;ALQUILER;5;GastosMedicos;B;25000;10.62;0;0.29;N;4
24;180000;HIPOTECA;7;Empresa;B;14000;11.99;0;0.08;N;2
26;180000;HIPOTECA;2;Empresa;B;12000;9.63;0;0.07;N;4
25;142800;HIPOTECA;9;GastosMedicos;F;10000;18.25;1;0.06;N;4
23;14664;HIPOTECA;0;PagoDeudas;C;6000;;1;0.41;N;4
24;87000;ALQUILER;8;MejorasCasa;D;25000;14.84;0;0.29;N;3
24;75000;ALQUILER;0;Empresa;E;25000;14.7;1;0.33;Y;3
23;76000;ALQUILER;7;PagoDeudas;D;25000;16.02;1;0.33;N;4
23;66215;ALQUILER;1;GastosMedicos;D;25000;15.37;1;0.32;Y;2
25;90000;ALQUILER;9;GastosMedicos;B;25000;10.99;0;0.28;N;4
21;15000;PROPIO;0;MejorasCasa;A;6200;7.9;1;0.41;N;2
26;180000;PROPIO;2;Personal;B;25000;10.99;0;0.14;N;4
24;180000;PROPIO;8;Educacion;B;21000;11.48;0;0.12;N;3
25;180000;PROPIO;9;GastosMedicos;C;20000;14.26;0;0.11;Y;4
26;180000;PROPIO;0;MejorasCasa;A;10000;8;0;0.06;N;4
25;180000;HIPOTECA;3;Empresa;B;9950;11.26;0;0.06;N;2
23;15000;PROPIO;7;GastosMedicos;B;4475;;1;0.3;N;4
23;78000;ALQUILER;2;Empresa;D;25000;16.32;1;0.32;Y;3
25;66300;ALQUILER;3;GastosMedicos;E;25000;17.93;1;0.32;Y;4
23;90000;ALQUILER;0;PagoDeudas;B;25000;11.36;0;0.28;N;3
24;79000;ALQUILER;9;PagoDeudas;D;25000;14.96;1;0.32;Y;4
24;91800;ALQUILER;4;Personal;C;25000;13.43;0;0.27;Y;3
25;92000;ALQUILER;6;MejorasCasa;B;25000;12.69;0;0.27;N;3
24;92000;ALQUILER;1;Empresa;C;25000;12.73;0;0.27;Y;4
23;93600;ALQUILER;3;Empresa;D;25000;15.21;0;0.27;N;4
23;15000;HIPOTECA;1;GastosMedicos;C;1750;12.68;0;0.12;Y;3
23;70550;ALQUILER;3;GastosMedicos;F;25000;19.04;1;0.3;Y;4
25;83800;ALQUILER;2;PagoDeudas;D;25000;15.95;1;0.3;Y;3
26;175000;HIPOTECA;3;Empresa;A;2600;8.9;0;0.01;N;4
25;175000;HIPOTECA;10;MejorasCasa;A;8000;7.9;0;0.05;N;2
22;175000;HIPOTECA;6;Educacion;B;18000;;0;0.1;N;2
23;175000;HIPOTECA;8;Personal;B;21000;11.99;0;0.12;N;3
23;15000;PROPIO;4;PagoDeudas;C;4000;13.98;1;0.27;N;4
23;15000;PROPIO;4;Empresa;B;4600;10.99;1;0.31;N;2
22;88000;ALQUILER;6;PagoDeudas;D;25000;15.58;1;0.28;Y;2
25;74800;ALQUILER;2;GastosMedicos;B;25000;10.99;1;0.28;N;2
25;88000;ALQUILER;0;Empresa;D;25000;14.96;1;0.28;N;4
25;15000;PROPIO;2;MejorasCasa;D;1750;15.31;0;0.12;Y;4
26;88000;ALQUILER;2;Empresa;D;25000;15.65;1;0.28;N;3
25;100000;ALQUILER;1;Empresa;B;25000;9.33;0;0.25;N;4
23;15000;HIPOTECA;0;Personal;C;3600;13.47;1;0.24;N;4
24;102400;ALQUILER;8;Personal;B;25000;10.36;0;0.24;N;3
24;92000;ALQUILER;1;MejorasCasa;E;25000;16.77;1;0.27;Y;4
23;93000;ALQUILER;0;PagoDeudas;D;25000;14.59;1;0.27;Y;2
22;175000;ALQUILER;6;Empresa;C;3500;11.91;0;0.02;Y;2
23;175000;HIPOTECA;3;Educacion;A;7200;8.38;0;0.04;N;3
25;174708;ALQUILER;9;Empresa;B;9000;10.59;0;0.05;N;3
25;174000;HIPOTECA;2;PagoDeudas;C;8800;14.27;0;0.05;N;3
26;174000;ALQUILER;8;PagoDeudas;B;12000;12.53;0;0.07;N;4
25;162000;HIPOTECA;5;PagoDeudas;E;25000;16;1;0.15;Y;3
26;173467;HIPOTECA;10;Empresa;B;10000;11.71;0;0.06;N;4
21;15000;PROPIO;0;MejorasCasa;C;3175;11.54;1;0.21;Y;3
25;96000;ALQUILER;2;MejorasCasa;E;25000;15.68;1;0.26;Y;4
21;15120;HIPOTECA;0;Educacion;B;1500;10.59;0;0.1;N;2
24;97908;ALQUILER;8;MejorasCasa;D;25000;12.61;1;0.26;Y;2
26;110000;ALQUILER;3;Personal;C;25000;;0;0.23;Y;2
23;15204;HIPOTECA;7;Personal;A;2800;8.49;1;0.18;N;3
25;159600;ALQUILER;0;Personal;D;30000;17.27;1;0.19;Y;4
24;171500;ALQUILER;6;PagoDeudas;A;18000;8.9;0;0.1;N;4
25;170004;HIPOTECA;3;GastosMedicos;B;10000;11.11;0;0.06;N;4
24;158004;ALQUILER;0;MejorasCasa;D;25000;14.59;1;0.16;Y;2
26;170000;ALQUILER;0;Empresa;B;13000;12.42;0;0.08;N;3
24;83300;ALQUILER;0;GastosMedicos;D;25000;;1;0.26;N;2
24;110000;ALQUILER;7;MejorasCasa;D;25000;15.7;0;0.23;Y;2
22;15360;PROPIO;7;MejorasCasa;B;2500;12.53;1;0.16;N;3
25;134300;ALQUILER;3;GastosMedicos;D;5000;16.49;1;0.03;N;2
25;170000;HIPOTECA;2;Educacion;A;20000;7.49;0;0.12;N;2
22;100580;ALQUILER;6;PagoDeudas;D;25000;14.96;1;0.25;Y;2
25;113000;ALQUILER;7;GastosMedicos;C;25000;12.73;0;0.22;Y;4
24;120000;ALQUILER;8;Educacion;B;25000;10.65;0;0.21;N;4
25;120000;ALQUILER;6;GastosMedicos;B;25000;10.74;0;0.21;N;2
23;120000;ALQUILER;7;Educacion;B;25000;9.99;0;0.21;N;2
24;91800;ALQUILER;5;GastosMedicos;D;25000;15.33;1;0.23;Y;2
21;15600;PROPIO;5;Empresa;A;1000;7.29;0;0.06;N;4
26;108000;ALQUILER;2;Personal;D;25000;15.05;1;0.23;N;3
26;129996;ALQUILER;6;Personal;B;25000;10.75;0;0.19;N;3
23;130000;ALQUILER;4;Educacion;D;25000;16.02;0;0.19;Y;2
23;130000;ALQUILER;7;Empresa;B;25000;11.49;0;0.19;N;4
25;170000;PROPIO;4;Educacion;B;20000;12.53;0;0.12;N;4
26;170000;HIPOTECA;0;Empresa;C;12000;13.57;0;0.07;Y;2
22;169000;ALQUILER;1;Personal;B;14000;11.14;0;0.08;N;3
26;168750;ALQUILER;10;GastosMedicos;C;24250;12.87;0;0.14;Y;3
23;168600;ALQUILER;3;Educacion;B;20000;11.58;0;0.12;N;3
24;168288;ALQUILER;5;MejorasCasa;B;1800;11.12;0;0.01;N;3
25;168000;HIPOTECA;2;Personal;B;35000;10.65;0;0.21;N;2
24;133300;ALQUILER;6;PagoDeudas;B;25000;10.37;0;0.19;N;2
24;15600;PROPIO;5;MejorasCasa;A;3300;6.39;1;0.21;N;4
24;134000;ALQUILER;8;Personal;D;25000;16.07;0;0.19;Y;3
25;134000;ALQUILER;7;GastosMedicos;B;25000;10.62;0;0.19;N;2
25;15600;PROPIO;0;Empresa;F;3200;18.09;1;0.21;N;2
25;135000;ALQUILER;5;Educacion;B;25000;11.36;0;0.19;N;4
26;135660;ALQUILER;10;PagoDeudas;B;25000;12.53;0;0.18;N;4
25;145000;ALQUILER;0;Educacion;B;25000;9.99;0;0.17;N;4
23;150000;ALQUILER;4;Educacion;B;25000;10.36;0;0.17;N;3
23;165000;HIPOTECA;3;Educacion;A;9600;5.99;0;0.06;N;3
22;153000;HIPOTECA;5;PagoDeudas;D;24000;15.62;1;0.16;Y;2
24;165000;HIPOTECA;5;Personal;B;20000;10.37;0;0.12;N;4
25;165000;HIPOTECA;0;MejorasCasa;F;25000;19.74;0;0.15;N;4
21;165000;HIPOTECA;5;Educacion;A;20000;6.91;0;0.12;N;4
23;16000;PROPIO;7;GastosMedicos;A;6000;7.9;1;0.38;N;2
23;16000;HIPOTECA;3;PagoDeudas;C;2275;13.06;0;0.14;Y;4
